,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
261,2020-11-23 11:22:49.109754-05:00,18.94,10225,18.95,4894,13.78,2712,13.79,1385
262,2020-11-23 11:22:59.127861-05:00,18.94,10287,18.95,4520,13.78,2876,13.79,1271
263,2020-11-23 11:23:09.147331-05:00,18.94,10514,18.95,3109,13.78,2705,13.79,687
264,2020-11-23 11:23:19.165115-05:00,18.95,6041,18.96,12607,13.79,2842,13.8,1634
265,2020-11-23 11:23:29.183588-05:00,18.95,8915,18.96,7536,13.79,3400,13.8,648
266,2020-11-23 11:23:39.201334-05:00,18.95,5782,18.96,12463,13.79,2322,13.8,2016
267,2020-11-23 11:23:49.220768-05:00,18.95,1302,18.96,12833,13.78,2711,13.79,1450
268,2020-11-23 11:23:59.237395-05:00,18.94,10541,18.95,2086,13.78,2990,13.79,464
269,2020-11-23 11:24:09.235557-05:00,18.95,8737,18.96,12835,13.79,2021,13.8,2285
270,2020-11-23 11:24:19.253333-05:00,18.95,7783,18.96,12769,13.79,1815,13.8,2224
271,2020-11-23 11:24:29.270851-05:00,18.96,6924,18.97,11250,13.8,3481,13.81,624
272,2020-11-23 11:24:39.288510-05:00,18.97,4851,18.98,13228,13.82,640,13.83,2407
273,2020-11-23 11:24:49.054246-05:00,18.97,5799,18.98,10460,13.82,2884,13.83,1572
274,2020-11-23 11:24:59.071735-05:00,18.97,8813,18.98,6260,13.82,3633,13.83,335
275,2020-11-23 11:25:09.089795-05:00,18.98,3805,18.99,10306,13.83,1799,13.84,1262
276,2020-11-23 11:25:19.107863-05:00,18.98,8962,18.99,5227,13.84,3141,13.85,1362
277,2020-11-23 11:25:29.243981-05:00,18.99,9592,19.0,4977,13.86,1087,13.87,2223
278,2020-11-23 11:25:39.261245-05:00,19.0,3660,19.01,11904,13.86,1684,13.87,1467
279,2020-11-23 11:25:49.278608-05:00,19.0,4086,19.01,11272,13.86,2014,13.87,1340
280,2020-11-23 11:25:59.296763-05:00,19.0,8087,19.01,7222,13.87,1577,13.88,2317
281,2020-11-23 11:26:09.064670-05:00,19.01,2494,19.02,12209,13.87,2295,13.88,1239
282,2020-11-23 11:26:19.083196-05:00,19.0,9503,19.01,7849,13.87,912,13.88,2440
283,2020-11-23 11:26:29.100845-05:00,19.0,10003,19.01,7054,13.87,1453,13.88,1925
284,2020-11-23 11:26:39.117257-05:00,19.0,7096,19.01,9979,13.87,642,13.88,2329
285,2020-11-23 11:26:49.134692-05:00,19.0,4194,19.01,4282,13.87,2284,13.88,1589
286,2020-11-23 11:26:59.152401-05:00,19.0,4588,19.01,9917,13.86,2131,13.87,2138
287,2020-11-23 11:27:09.169981-05:00,19.0,3887,19.01,10261,13.86,1668,13.87,1936
288,2020-11-23 11:27:19.187763-05:00,19.0,3667,19.01,10222,13.86,1614,13.87,2022
289,2020-11-23 11:27:29.206445-05:00,19.0,3517,19.01,10250,13.86,1672,13.87,2391
290,2020-11-23 11:27:39.223268-05:00,19.0,8705,19.01,3586,13.87,3070,13.88,1509
291,2020-11-23 11:27:49.243263-05:00,19.0,10178,19.01,1871,13.87,2589,13.88,1311
292,2020-11-23 11:27:59.220521-05:00,19.01,3801,19.02,11057,13.87,2719,13.88,1135
293,2020-11-23 11:28:09.237845-05:00,19.01,1358,19.02,11394,13.87,2141,13.88,1846
294,2020-11-23 11:28:19.254803-05:00,19.0,9340,19.01,7316,13.87,1698,13.88,2126
295,2020-11-23 11:28:29.271694-05:00,19.0,9727,19.01,7026,13.87,2220,13.88,1702
296,2020-11-23 11:28:39.289218-05:00,19.01,3626,19.02,12405,13.88,6,13.89,3281
297,2020-11-23 11:28:49.265134-05:00,19.01,2292,19.02,12532,13.87,1874,13.88,2267
298,2020-11-23 11:28:58.128432-05:00,19.01,4220,19.02,11578,13.87,1874,13.88,2267
299,2020-11-23 11:28:58.128432-05:00,19.01,4220,19.02,11578,13.87,2773,13.88,952
300,2020-11-23 11:29:09.255448-05:00,19.01,4093,19.02,11683,13.88,222,13.89,2935
301,2020-11-23 11:29:19.196091-05:00,19.01,8813,19.02,4090,13.88,2634,13.89,533
302,2020-11-23 11:29:29.212831-05:00,19.02,2423,19.03,10673,13.89,1532,13.9,2104
303,2020-11-23 11:29:39.229784-05:00,19.02,2497,19.03,10810,13.89,1803,13.9,2094
304,2020-11-23 11:29:49.206226-05:00,19.02,4096,19.03,10433,13.89,2041,13.9,1465
305,2020-11-23 11:29:59.223225-05:00,19.02,7394,19.03,6024,13.89,2839,13.9,512
306,2020-11-23 11:30:09.202875-05:00,19.02,7723,19.03,5442,13.9,1824,13.91,2470
307,2020-11-23 11:30:19.221214-05:00,19.02,3219,19.03,9559,13.89,1820,13.9,1419
308,2020-11-23 11:30:29.238186-05:00,19.02,5425,19.03,9161,13.89,2549,13.9,1391
309,2020-11-23 11:30:39.255403-05:00,19.02,7959,19.03,5160,13.9,1799,13.91,2426
310,2020-11-23 11:30:49.056791-05:00,19.02,4220,19.03,8720,13.89,2062,13.9,1531
311,2020-11-23 11:30:59.115278-05:00,19.02,3442,19.03,10140,13.89,1847,13.9,1892
312,2020-11-23 11:31:09.055395-05:00,19.02,4427,19.03,9364,13.89,2290,13.9,1611
313,2020-11-23 11:31:19.075009-05:00,19.02,5390,19.03,9172,13.89,2606,13.9,1522
314,2020-11-23 11:31:29.092335-05:00,19.02,3486,19.03,10137,13.89,1891,13.9,1733
315,2020-11-23 11:31:39.110569-05:00,19.02,2491,19.03,10268,13.89,1671,13.9,2281
316,2020-11-23 11:31:49.128165-05:00,19.02,3362,19.03,10189,13.89,1696,13.9,2041
317,2020-11-23 11:31:59.146283-05:00,19.02,2463,19.03,10349,13.89,1590,13.9,2679
318,2020-11-23 11:32:09.163313-05:00,19.02,881,19.03,10503,13.88,2458,13.89,1134
319,2020-11-23 11:32:19.180043-05:00,19.01,6033,19.02,10503,13.88,1407,13.89,2193
320,2020-11-23 11:32:29.196641-05:00,19.01,3046,19.02,12430,13.87,1823,13.88,1675
321,2020-11-23 11:32:39.213129-05:00,19.0,9084,19.01,8425,13.87,378,13.88,2625
