time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It,dM1,dM2,residual_bucket_later,imb1_bucket_later,imb2_bucket_later,current_state,later_state,micro1_adj,micro2_adj,micro1,micro2
2020-11-23 15:49:08.244619+00:00,18.96,9402,18.97,5546,13.81,1620,13.82,2084,18.965,13.815,-0.003589281722419457,0.628980465614129,0.4373650107991361,-0.003589281722419457,18.965,13.815,0.6284931140526808,0.38954468802698144,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:49:08.244619+00:00,18.96,9402,18.97,5546,13.81,1593,13.82,2116,18.965,13.815,-0.003589281722419457,0.628980465614129,0.4294958209760043,-0.003589281722419457,18.965,13.815,0.6284931140526808,0.38954468802698144,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:49:19.264181+00:00,18.96,9401,18.97,5557,13.81,1386,13.82,2172,18.965,13.815,-0.003589281722419457,0.6284931140526808,0.38954468802698144,-0.003589281722419457,18.965,13.815,0.6245266724241015,0.3742584472530307,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:49:27.028324+00:00,18.96,9401,18.97,5557,13.81,1451,13.82,2426,18.965,13.815,-0.003589281722419457,0.6284931140526808,0.3742584472530307,-0.003589281722419457,18.965,13.815,0.4801014554018962,0.2365021530308049,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,0,111,11000,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:49:29.289009+00:00,18.96,9401,18.97,5652,13.81,1451,13.82,2426,18.965,13.815,-0.003589281722419457,0.6245266724241015,0.3742584472530307,0.0032860324675674235,18.965,13.805,0.4083899219394555,0.6096890205204146,0.006875314189986881,0.0,-0.010000000000001565,1,1,1,0.0017378263349258599,0.0,0.0,0,-1,4,1,1,111,4110-1,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:49:39.049985+00:00,18.96,7950,18.97,8609,13.81,714,13.82,2305,18.965,13.815,-0.003589281722419457,0.4801014554018962,0.2365021530308049,0.0032860324675674235,18.965,13.805,0.4083899219394555,0.6096890205204146,0.006875314189986881,0.0,-0.010000000000001565,1,1,0,0.0017378263349258599,0.0,-0.00250980392156869,0,-1,4,1,1,110,4110-1,0.0008926711225372864,-0.006275252314918811,18.965892671122536,13.80872474768508
2020-11-23 15:49:49.067996+00:00,18.96,6435,18.97,9322,13.8,2882,13.81,1845,18.965,13.805,0.0032860324675674235,0.4083899219394555,0.6096890205204146,-0.003589281722419457,18.965,13.815,0.6266684287035813,0.484684260131951,-0.006875314189986881,0.0,0.010000000000001565,4,1,1,-0.0017378263349258599,0.0,0.0,0,1,1,1,1,411,11101,-0.0024932832384759233,0.004488131640785334,18.962506716761524,13.809488131640785
2020-11-23 15:49:59.083771+00:00,18.96,9484,18.97,5650,13.81,2057,13.82,2187,18.965,13.815,-0.003589281722419457,0.6266684287035813,0.484684260131951,-0.003589281722419457,18.965,13.815,0.6734679997279467,0.5885191770383541,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,2,1,111,12100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:50:09.104067+00:00,18.96,9902,18.97,4801,13.81,2317,13.82,1620,18.965,13.815,-0.003589281722419457,0.6734679997279467,0.5885191770383541,-0.003589281722419457,18.965,13.815,0.6402585688514733,0.5094571358388602,0.0,0.0,0.0,1,2,1,0.0017378263349258599,0.001859903381642361,0.0,0,0,1,1,1,121,11100,0.004400937736897356,-0.0020326573663383453,18.969400937736896,13.81296734263366
2020-11-23 15:50:19.121639+00:00,18.96,8518,18.97,4786,13.81,2074,13.82,1997,18.965,13.815,-0.003589281722419457,0.6402585688514733,0.5094571358388602,-0.003589281722419457,18.965,13.815,0.6838860971524288,0.6628511966701353,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,2,1,111,12100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:50:29.137975+00:00,18.96,10207,18.97,4718,13.81,2548,13.82,1296,18.965,13.815,-0.003589281722419457,0.6838860971524288,0.6628511966701353,-0.003589281722419457,18.965,13.815,0.6827167089622012,0.6210670314637483,0.0,0.0,0.0,1,2,1,0.0017378263349258599,0.001859903381642361,0.0,0,0,1,2,1,121,12100,0.004400937736897356,-0.0020326573663383453,18.969400937736896,13.81296734263366
